[Summary]
Cell: 259 NMC640 30C
First Protocol: C:\Users\OEMS\Documents\EC-Lab\Data\Mitch\Protocols\AMIDR Form.mps
Mass (mg): 2.687
Capacity (mAHr): 0.604
Started: 05/25/2023 17:46:33.771
[End Summary]
[Data]
Step Type,Run Time (h),Current (A),Potential vs. Counter (V),Potential (V),Capacity (Ah),Step Number
1,0.0,3.0049041e-05,2.9055691,2.586772,0.0,1
1,3.755555460682242e-05,3.0207517999999998e-05,2.9155948,2.5917892,1.134513842666315e-09,1
1,0.00011105555275005624,3.0207517999999998e-05,2.9256485,2.6014423,3.354878312494192e-09,1
1,0.00019305555067856202,3.0206244e-05,2.935683,2.6114578,5.832008134677179e-09,1
1,0.0002777222152063688,3.0204972e-05,2.9457366,2.6213589,8.389689890253875e-09,1
1,0.000366333324078975,3.0208791e-05,2.9557521,2.6314316,1.106651616903643e-08,1
1,0.0004569999884552089,3.0201793e-05,2.9657676,2.6414661,1.380541121328456e-08,1
1,0.0005509999860805691,3.0213246e-05,2.9758213,2.6514053,1.6645007637225917e-08,1
1,0.0006475555391969264,3.0213881e-05,2.9858942,2.6615546,1.956178203111308e-08,1
1,0.0007483888699829953,3.0206244e-05,2.995986,2.6716082,2.260781042795214e-08,1
1,0.0008529999784514075,3.0212609e-05,3.0060396,2.6818144,2.576793455197993e-08,1
1,0.0009600555313025122,3.0210701999999997e-05,3.0160551,2.6916964,2.900189778446737e-08,1
1,0.0010718333062565458,3.0210063e-05,3.0260708,2.7017503,3.2378503959005083e-08,1
1,0.0011884444144218125,3.021452e-05,3.036258,2.7117848,3.590108657752474e-08,1
1,0.0013094999669192476,3.0210063e-05,3.0463498,2.7219529,3.955789449521237e-08,1
1,0.0014368888525900223,3.0211974e-05,3.0563653,2.7319493,4.340600170702156e-08,1
1,0.001568888849255422,3.0210063e-05,3.0663807,2.7420983,4.739344436747746e-08,1
1,0.0017066110679984882,3.0206244e-05,3.0764918,2.7521522,5.155369470227096e-08,1
1,0.0018519999532145448,3.0204972e-05,3.0865455,2.762244,5.594556730199192e-08,1
1,0.002004611060470375,3.020688e-05,3.0966754,2.7723358,6.055555029078904e-08,1
1,0.002164444389765979,3.0215157e-05,3.106729,2.7823894,6.538374610348707e-08,1
1,0.002332055496642877,3.0211974e-05,3.116802,2.7925196,7.04468867370031e-08,1
1,0.0025082221588591993,3.020688e-05,3.1268175,2.8024969,7.576847714806597e-08,1
1,0.0026937221541730757,3.0203061e-05,3.1369283,2.8125505,8.137199844564828e-08,1
1,0.0028916665936170225,3.0204972e-05,3.1470773,2.8227377,8.735148362329023e-08,1
1,0.003098388810617003,3.0215792e-05,3.1571884,2.8328488,9.35960914031085e-08,1
1,0.003316222138447403,3.021452e-05,3.1672039,2.8428452,1.0017635015118869e-07,1
1,0.003543166577158747,3.0208156e-05,3.1772194,2.852937,1.070317903438376e-07,1
1,0.003783722126637358,3.0207517999999998e-05,3.187254,2.8629334,1.1429844041075561e-07,1
1,0.0040351665647297835,3.0208791e-05,3.1973648,2.8729489,1.218939812823923e-07,1
1,0.0043023887802014025,3.02037e-05,3.2073805,2.8830791,1.299660519914081e-07,1
1,0.004584166550860875,3.0209428e-05,3.2174532,2.893209,1.3847779806041061e-07,1
1,0.004875277654617903,3.0206244e-05,3.2274687,2.9031863,1.4727141487567382e-07,1
1,0.005188666535589923,3.0211339e-05,3.2374842,2.9132781,1.567380293376951e-07,1
1,0.005515333194004294,3.0211339e-05,3.2474997,2.9231601,1.6660560239292682e-07,1
1,0.005858277629785233,3.0205611e-05,3.2575343,2.9332137,1.7696477213336358e-07,1
1,0.006218444287353324,3.0197971000000002e-05,3.26755,2.9433439,1.878441671240661e-07,1
1,0.00659483316673383,3.0204334999999997e-05,3.2775846,2.9532068,1.992136895535514e-07,1
1,0.006991833156704767,3.0210701999999997e-05,3.2876382,2.963413,2.1120571843162179e-07,1
1,0.007406277590679464,3.0210701999999997e-05,3.2976537,2.9733331,2.237247198532439e-07,1
1,0.007839999801944941,3.02037e-05,3.3076692,2.9834249,2.368260633365975e-07,1
1,0.008292110901634763,3.0210063e-05,3.3177612,2.9933262,2.5048284690133814e-07,1
1,0.008772666445050465,3.0213246e-05,3.3278148,3.0034752,2.649987931824806e-07,1
1,0.009274944210139639,3.0204972e-05,3.3378303,3.0134144,2.801707932136746e-07,1
1,0.00979905530801059,3.0208156e-05,3.3478839,3.0235062,2.960021758741803e-07,1
1,0.010361277516029888,3.0207517999999998e-05,3.3578994,3.0335598,3.129846052730249e-07,1
1,0.010951888612220904,3.0210063e-05,3.3679152,3.0435755,3.308245423330615e-07,1
1,0.011579333040814769,3.0211339e-05,3.3779306,3.0536292,3.497772894223324e-07,1
1,0.012248777468347625,3.0201154000000002e-05,3.3879843,3.0634921,3.699987436120088e-07,1
1,0.012971444116758194,3.0212609e-05,3.3980951,3.0736792,3.918276462790866e-07,1
1,0.013762221874559246,3.0201793e-05,3.4081106,3.0835993,4.157139383964241e-07,1
1,0.014615777408552175,3.0206244e-05,3.4181643,3.093653,4.414963489430439e-07,1
1,0.015549721829403196,3.0205611e-05,3.42818,3.1037641,4.6970725689476557e-07,1
1,0.01657155513692285,3.0202428e-05,3.4382336,3.1136079,5.005728647216326e-07,1
1,0.017742610662895057,3.0210701999999997e-05,3.4482872,3.1236997,5.359457676471728e-07,1
1,0.01906972174048052,3.0217065e-05,3.4583218,3.133677,5.760324664400477e-07,1
1,0.020619888367986682,3.0204334999999997e-05,3.4684899,3.1438642,6.228564211172569e-07,1
1,0.022505610542571552,3.0199245e-05,3.4785438,3.1538608,6.798159589900945e-07,1
1,0.02482966603941653,3.0204334999999997e-05,3.4885783,3.1638763,7.500158374463726e-07,1
1,0.027877388184646808,3.0211339e-05,3.498632,3.1738727,8.42074892245854e-07,1
1,0.03218938807571653,3.0204334999999997e-05,3.5086474,3.1837928,9.723217728723668e-07,1
1,0.0385445545818382,3.020688e-05,3.5187011,3.1938465,1.1642818421969811e-06,1
1,0.047515498799657496,3.0211339e-05,3.5287356,3.2039955,1.435254245368039e-06,1
1,0.0577963874288293,3.02037e-05,3.5387704,3.2140493,1.745791686434195e-06,1
1,0.06737488718685603,3.0204972e-05,3.548805,3.2240648,2.035109108537435e-06,1
1,0.07559866475688373,3.0200517e-05,3.5588205,3.2341375,2.283508141229964e-06,1
1,0.08255988680325067,3.0207517999999998e-05,3.5688741,3.2442484,2.493770226484786e-06,1
1,0.08853083109685636,3.0209428e-05,3.5789089,3.2543213,2.674121806856555e-06,1
1,0.09370494207725844,3.0205611e-05,3.5889435,3.264394,2.830403831039348e-06,1
1,0.09839294195882961,3.0206244e-05,3.598959,3.2745049,2.9720028493451987e-06,1
1,0.10268255296157604,3.020688e-05,3.6090126,3.284692,3.101568939137273e-06,1
1,0.10676277508072317,3.0203061e-05,3.6190856,3.2948794,3.2248099685334077e-06,1
1,0.11080827497852522,3.0206244e-05,3.6292155,3.3051047,3.347002512472371e-06,1
1,0.11510588598106955,3.0201793e-05,3.639231,3.3152537,3.476809141771247e-06,1
1,0.1199196080816869,3.0210063e-05,3.6492467,3.3254411,3.622207022901211e-06,1
1,0.12589894126396958,3.0204334999999997e-05,3.6593003,3.3357427,3.8028109340791903e-06,1
1,0.13424571883089004,3.0210063e-05,3.6693158,3.3458726,4.054922438835932e-06,1
1,0.14752127405107684,3.0210063e-05,3.6793697,3.3561935,4.455909087347384e-06,1
1,0.17192205121243911,3.0204334999999997e-05,3.6894233,3.3666096,5.192935197532591e-06,1
1,0.22736988314504236,3.020688e-05,3.699439,3.3771975,6.867719052655001e-06,1
1,0.3776269904603397,3.0211339e-05,3.7094545,3.3877661,1.140624972992142e-05,1
1,0.7109603709285189,3.0210701999999997e-05,3.7188601,3.3982968,2.147496227067854e-05,1
1,1.044293751396698,3.0210701999999997e-05,3.725728,3.4060421,3.154379641652676e-05,1
1,1.377627135020076,3.0209428e-05,3.7316804,3.4128146,4.1612448458411113e-05,1
1,1.7109605198732363,3.0208791e-05,3.7378423,3.4194725,5.168113828267281e-05,1
1,2.0442939047263926,3.02037e-05,3.7439854,3.4260924,6.174996315870765e-05,1
1,2.377627289579545,3.020688e-05,3.7504525,3.4328265,7.181880404991356e-05,1
1,2.7109606744327013,3.0210063e-05,3.7569199,3.4397707,8.188748092280349e-05,1
1,3.0442940592858614,3.0204334999999997e-05,3.7637305,3.4468102,9.195611211531908e-05,1
1,3.3776274441390166,3.0198609e-05,3.7711134,3.4542503,0.000102024595728408,1
1,3.710960828992175,3.0200517e-05,3.7778478,3.461328,0.0001120930094932059,1
1,4.044294213845331,3.0210063e-05,3.7849061,3.468291,0.0001221612926833696,1
1,4.377627598698486,3.0210701999999997e-05,3.7914879,3.4751589,0.0001322295710112289,1
1,4.710960983551647,3.0204334999999997e-05,3.7982984,3.4820457,0.0001422978666366753,1
1,5.044294368404809,3.0208156e-05,3.8046894,3.4887228,0.0001523661183494768,1
1,5.377627753257969,3.0204972e-05,3.8115001,3.4956861,0.00016243431841582128,1
1,5.710961138111111,3.0201154000000002e-05,3.818444,3.5027635,0.0001725023947081578,1
1,6.044294522964273,3.0199245e-05,3.8262467,3.5105662,0.00018257042333936149,1
1,6.377627907817433,3.0201154000000002e-05,3.8340874,3.5185976,0.0001926383856000936,1
1,6.710961292670595,3.0202428e-05,3.8429773,3.5274684,0.0002027063372655271,1
1,7.04429467752375,3.0207517999999998e-05,3.8523252,3.5370643,0.0002127743394354905,1
1,7.344039007228017,3.020688e-05,3.8623407,3.5468318,0.0002218277843204012,1
1,7.634784837041242,3.0196698e-05,3.8723755,3.5570574,0.0002306093537272314,1
1,7.903406722677869,3.0208156e-05,3.8824482,3.5671873,0.000238722776588013,1
1,8.153597275204325,3.020688e-05,3.8924637,3.5772409,0.0002462794401021778,1
1,8.385879494614253,3.0205611e-05,3.9024792,3.5874472,0.0002532952279678443,1
1,8.603679880866192,3.0204334999999997e-05,3.9125521,3.5974629,0.0002598735921815667,1
1,8.809789767259678,3.0207517999999998e-05,3.9226439,3.6075928,0.00026609875724978424,1
1,9.007510542643608,3.0210063e-05,3.9327166,3.61778,0.0002720706254637209,1
1,9.196420541672415,3.02037e-05,3.9427512,3.627929,0.000277776350134439,1
1,9.376918097564161,3.0200517e-05,3.9528432,3.6380782,0.00028322793031580664,1
1,9.551757709000926,3.0205611e-05,3.9628778,3.6481318,0.0002885085614956754,1
1,9.720539875981952,3.0204972e-05,3.9729314,3.6582618,0.0002936061779845581,1
1,9.884872876288071,3.0204334999999997e-05,3.9829469,3.6682963,0.0002985695075950126,1
1,10.046660432144968,3.0194152e-05,3.9930007,3.6784265,0.0003034558919383008,1
1,10.204720321328285,3.0197971000000002e-05,4.0030737,3.6885374,0.0003082297641620355,1
1,10.36101898828607,3.0196063e-05,4.0130892,3.6985147,0.0003129503685033429,1
1,10.515228488573307,3.0201793e-05,4.0231047,3.7086446,0.00031760792428931677,1
1,10.667232599967551,3.0203061e-05,4.0331202,3.7187366,0.00032219891660373377,1
1,10.816862044690694,3.0203061e-05,4.0431356,3.7288094,0.0003267181459544045,1
1,10.965019544966692,3.0203061e-05,4.0531511,3.738863,0.0003311929858064652,1
1,11.112174100796302,3.0204972e-05,4.0631666,3.7488976,0.0003356374455272787,1
